gap_unregulated,gap_justice,reduction_pct
0.3442622950819672,0.33556664290805416,2.5258799171842665
0.3290686623901164,0.31747445949156566,3.523338507635106
0.29918032786885246,0.2933832264195771,1.9376613063331358
0.3114754098360656,0.30277975766215254,2.791762013729979
0.3073770491803279,0.29868139700641483,2.8289855072463785
0.3249703017343787,0.3191732002851033,1.7838865331188785
0.319672131147541,0.31387502969826564,1.8134522482348578
0.32786885245901637,0.31047754811119027,5.3043478260869605
0.3442622950819672,0.33556664290805416,2.5258799171842665
0.3360655737704918,0.3331670230458541,0.8624955814775545
0.3155737704918033,0.30687811831789025,2.755505364201018
0.36065573770491804,0.36065573770491804,0.0
0.3114754098360656,0.29988120693751485,3.7223493516399717
0.3442622950819672,0.34256355428842955,0.49344375431331927
0.32087194107864103,0.3063791874554526,4.516678390285442
0.3319672131147541,0.32037301021620335,3.4925747003041714
0.2827868852459016,0.27988833452126394,1.024994749002311
0.27988833452126394,0.2682941316227132,4.142438775943299
0.3700522689474935,0.36135661677358044,2.349844306763829
0.41103587550487053,0.40813732478023285,0.7051819311580595
0.3401639344262295,0.3401639344262295,0.0
0.319672131147541,0.3051793775243526,4.533630620587145
0.27459016393442626,0.26009741031123784,5.277958035907422
0.2786885245901639,0.27698978379662625,0.6095481670929238
0.32786885245901637,0.3191732002851033,2.6521739130434803
0.36185554763601807,0.3589569969113804,0.8010242605298583
0.32087194107864103,0.3092777381800903,3.6133427122283535
0.36065573770491804,0.35775718698028036,0.8036890645586303
0.30327868852459017,0.3044784984556902,-0.39561300430865737
0.30327868852459017,0.2974815870753148,1.9114766940853911
0.28398669517700165,0.26949394155381323,5.103321341922533
0.3360655737704918,0.3331670230458541,0.8624955814775545
0.3249703017343787,0.3249703017343787,0.0
0.29918032786885246,0.2904846756949394,2.906491959499704
0.37415062960323114,0.3654549774293181,2.324104648209298
0.3401639344262295,0.33436683297695413,1.7042081368954087
0.319672131147541,0.31097647897362796,2.720178372352287
0.3237704918032787,0.312176288904728,3.580994312970099
0.3114754098360656,0.3056783083867902,1.8611746758199859
0.3044784984556902,0.29578284628177715,2.855916663415397
0.3237704918032787,0.32087194107864103,0.8952485782425248
0.3155737704918033,0.3126752197671656,0.918501788067006
0.3483606557377049,0.3338679021145165,4.160272804774086
0.29098360655737704,0.2851865051081017,1.9922433149622383
0.29508196721311475,0.27769066286528865,5.893719806763289
0.32786885245901637,0.3191732002851033,2.6521739130434803
0.319672131147541,0.3080779282489903,3.6269044964697157
0.3770491803278688,0.3683535281539558,2.3062381852552
0.30327868852459017,0.29168448562603944,3.8229533881707822
0.3237704918032787,0.312176288904728,3.580994312970099
0.3237704918032787,0.31797339035400335,1.7904971564850496
0.3056783083867902,0.2940841054882395,3.792942639515003
0.3360655737704918,0.315775718698028,6.037469070342881
0.32087194107864103,0.31337609883582795,2.336085298582077
0.29918032786885246,0.2904846756949394,2.906491959499704
0.3319672131147541,0.32037301021620335,3.4925747003041714
0.319672131147541,0.31387502969826564,1.8134522482348578
0.3360655737704918,0.32736992159657874,2.5874867444326632
0.29098360655737704,0.2793894036588263,3.9844866299244766
0.36885245901639346,0.3601568068424804,2.3574879227053156
0.3483606557377049,0.34546210501306723,0.8320545609548172
0.3085768591114279,0.30277975766215254,1.8786572220511253
0.3360655737704918,0.32736992159657874,2.5874867444326632
