ntl_rate,recovery_usd_k,precision
0.1879376940071189,50.809064683505355,0.6569082732981483
0.23800295738693436,48.24362905446522,0.45521606548529436
0.2022783190120166,37.36911787361,0.3634962702863326
0.22557248694506898,98.15418444465683,0.9086998475499544
0.18608126134350933,80.37390295779973,0.8631026732598348
0.23984319196221135,95.22587577572341,0.7742128278888881
0.22817751261606575,64.79928905902048,0.6201337502693709
0.16726044675910112,55.105459169589025,0.607493118667997
0.1560952172265751,44.39583999152778,0.7059001196163036
0.20739869476716927,82.06607161869,0.836768680375776
0.21341017670568868,61.22178366780505,0.6019625775975382
0.21181309063215067,71.12996364693188,0.7266685608762375
0.21454582858611587,83.34806376781576,0.8104106869947206
0.2455499854262817,75.71264777082749,0.7730259794374635
0.20285844109715018,66.93403062107755,0.8475340607186119
0.1940498079437039,60.22431099945553,0.6005416211338627
0.217901681710519,84.38995012096406,0.790703499593652
0.22035752465135428,72.20988197391901,0.6278640644598087
0.19094161299113818,62.51286116595453,0.6973848594836644
0.1801657997506456,67.71342996866676,0.8392673192514682
0.1608556530523256,57.57473364210753,0.6349946467544282
0.16257032078484276,77.43260423176585,0.821933948759447
0.20179712883339784,86.47362127524543,0.7860545615760258
0.1688259350280966,42.638638752531506,0.5382854411169284
0.2076283955415675,59.5481829724291,0.6637794002145617
0.15068688346326242,75.56954429869313,0.8999219263639808
0.229400784424876,76.96604716063489,0.5545864523503634
0.16005830809387134,59.16113988196111,0.6392012002116597
0.18359255539122427,29.80957688137247,0.37522204359045674
0.1694455861014407,44.95892614222127,0.5176854225250027
0.21383066851813218,77.2605348993967,0.8126725993461055
0.16048540123146093,43.3597937982622,0.7669342799557505
0.23209954674040242,88.73334812009384,0.7247358186901784
0.23756190164574767,44.199010319493915,0.4233563010687927
0.22809413236019174,82.46805574377446,0.8395101282380775
0.1571051082550101,50.42881629658946,0.8102301906199164
0.249032154363505,110.89961666868956,0.9110504335428288
0.1833561036871867,67.1852006042566,0.7599490419880617
0.2351022834370968,97.13953838194324,0.6708800466558521
0.19439535244610315,62.15709461351228,0.6604383587569939
0.19993928726895363,78.45245577193043,0.7311226070298853
0.24510306531839468,128.0644845266604,0.8578361601331045
0.19636145751340245,89.85659444757204,0.9252358143704515
0.17028354347108424,51.09918611081877,0.7538655803817771
0.24141349135952533,100.71405830996396,0.7591759669107822
0.15488710824474725,60.26465290755582,0.7339479700893641
0.17732283817030847,55.96556009836207,0.5385607006037083
0.200344027602642,51.9339800999421,0.4636466216974482
0.21262073263974132,85.6301579116768,0.701944154822662
0.19090241826740845,53.57892166010926,0.6588372804112402
0.19116484390737026,80.69049176777347,0.7706288521843432
0.15984830438741224,62.41122801465575,0.8123659549663297
0.2461628001691883,88.77506463403796,0.8920196649842952
0.20896269505945658,45.563794636776294,0.49344170689452804
0.21494949748758724,63.911858976214546,0.8051751926914115
0.21035902795612113,52.25641269915549,0.6352001646607125
0.18588997832946147,49.13295651482199,0.515990093228055
0.21555460947868482,84.13267914507863,0.9315473182141452
0.18162228421611706,88.9338008977532,0.9067441885063504
0.15526581422441083,54.089738192227514,0.7206133265891589
0.1660198812326306,52.32690394621865,0.8744122510795806
0.23949494678944144,114.34219252469681,0.8968702106638997
0.19236990401360224,35.17072342163925,0.4073337481890481
0.24237709633820712,87.66771445237836,0.6468679220087211
0.15088944646633287,41.723278693778774,0.7067300950126689
0.23142276906487053,74.19180752259659,0.8372833284046329
0.21039864119371632,82.21687340275128,0.701449079236271
0.1795064985141665,48.69904916126385,0.6536986654448045
0.17187609932401277,77.42017874207001,0.8191549815151362
0.1760081580528336,39.37103189305897,0.5555012555593843
0.23214995201926253,57.6092923446774,0.5068315776223689
0.18062530667867516,56.25311042275484,0.6913959736844892
0.23186760586184973,61.670209501392854,0.6082965528452691
0.1751717554257181,63.318362272253424,0.9585030962920146
0.20422384941498098,102.49816143922097,0.8729803314805764
0.16807776746009365,52.38113389075417,0.6357232441322404
0.15059527889227425,50.7392509420797,0.7859777553727078
0.15616454208222028,53.624842373029814,0.7355156413262136
0.19279904002194492,96.10566822274387,0.8992346044004971
0.20887614947174954,79.58707921323553,0.6343927253638073
0.15501297867394911,66.98245990601303,0.7690358633562315
0.21511140567058248,60.62481795669734,0.5186210058980951
0.23639763846717077,68.81918168657447,0.5508984380057533
0.1710074398767451,45.61217123729646,0.6457596183511816
0.1706622233222606,49.04033746619027,0.625337911835563
0.1897759807478291,93.25538506843111,0.9161753212786444
0.16112497927938527,64.29755680701828,0.8298255881129282
0.2097970745909623,75.06996208933943,0.6554943075971563
0.1729897060673982,47.1431911646119,0.7517274232896289
0.2383833232239857,70.18666682152316,0.5207088606807014
0.2403107127716241,96.55581367943306,0.7727987669944697
0.17477167920357398,44.38517133271083,0.7644167225016767
0.23860599242317404,74.56078460936699,0.798838941470951
0.22333990855751829,69.9006829333323,0.6737928330016525
0.1882310248121567,35.24942195413144,0.3502674692561422
0.1790862081013428,59.095866327661405,0.6456456542478773
0.1581764433456822,47.393430567620356,0.5897891068816907
0.17001549436222135,55.687210557879865,0.5614348232114743
0.1661074607469424,50.919610923916636,0.798397865311346
0.19003029993759907,42.22954550808354,0.5233411020074973
0.15093102339468678,52.90877697387843,0.7870017387201327
0.15657538876398044,67.76485963619848,0.8635355592233449
0.20057085974046157,100.24338919456997,0.9187634714739155
0.1933417942537092,79.49005631518106,0.8051542134721026
0.222015961323222,36.96470633011259,0.3221921005544703
0.22295873985140352,62.73514061674475,0.5840678081620023
0.2173544730346339,86.74475552260823,0.8130281500626237
0.19669969946409846,80.73221125800693,0.7792673116502006
0.21871224274918544,77.10415645945908,0.7643227650834125
0.16371485324439922,31.594938040116435,0.4656086539255426
0.1564568677788477,69.68275073669757,0.7827516153672311
0.18356975415913096,44.05942791020105,0.6352119517835813
0.2248284144615939,48.58553783050747,0.5313129027161403
0.19868156332159503,36.38753091442035,0.5344725324998271
0.18165707858526997,48.26698219065108,0.4965109183748352
0.19356113246467382,54.51626854942462,0.5161335275334228
0.17643631480099253,50.86571503382338,0.5770294393348221
0.20048486100942042,37.27298562527948,0.3753154133212546
0.15836702573936098,30.21094108671174,0.44564457690510123
0.22436566139905884,50.61004576838105,0.528920588731896
0.17437297434501997,75.99913093401115,0.90090194761293
0.24554846284872092,52.496893415970064,0.61514462070582
0.20226842005848134,95.46205360725641,0.7940448825517687
0.18956974637347293,57.65190047669932,0.6757045515767539
0.19877336947276475,73.47554548771701,0.7836164821421611
0.16597774681740018,72.30265034837737,0.8098805252642924
0.23981103485174277,81.77983999519716,0.7502631730122725
0.15819793586029335,55.66187441452109,0.7730956593943509
0.1808986954784172,45.481760472755475,0.6508879739589575
0.24357772354269386,93.54978009714831,0.7936939508939237
0.23843619324320406,59.91618552413587,0.4317350558606268
0.18990009452257076,92.59102212847,0.913038010295776
0.23809984810613247,103.66161046103662,0.9522805327407381
0.15249592440384055,55.0703966053871,0.7908571805233653
0.1728980727493541,52.29782300176336,0.610479456938531
0.1875003037620212,58.34817433974416,0.6600857548757268
0.16116018528274179,75.00303488046114,0.8135677126736818
0.21155435144296575,46.31475769109864,0.575009886542135
0.16846082936286882,35.962686154169084,0.5409105532800513
0.20322959891003523,89.85095231426283,0.7990827608178391
0.18658789800622083,53.10089728798391,0.6372878730251013
0.22873784399055486,56.77013783667001,0.49074787581902163
