year,forecast_pct,ci_lo_95,ci_hi_95
2024,34.381521738978336,30.31808904218631,38.44495443577036
2025,36.45578260853654,32.31187808591384,40.599687131159236
2026,38.6140903008054,34.39124717041715,42.83693343119365
2027,40.85644481584313,36.55611186185904,45.15677776982723
2028,43.18284615362063,38.80639520263581,47.55929710460545
2029,45.59329431410879,41.142026816234704,50.044561811982874
2030,48.08778929733671,43.562942145345325,52.6126364493281
2031,50.666331103333505,46.069081799658655,55.263580407008355
